idx	experiment	experiment_id	group	condition	condition_id	item_id	text	question_type	question	response_true	response_distractors
2	rep_levy2009	1	2	at_unambig	2	1	The students sighed at the professor given a dancing lesson by the experimented instructor.	S Vm	Did the students sigh?	Yes	No
5	rep_levy2009	1	2	at_ambig	1	2	The kindergartner grinned at the little girl brought a toy by her parents on the first day of Chanukah.	S Vm	Did the kindergartner grin?	Yes	No
12	rep_levy2009	1	2	toward_unambig	4	3	The hostess shrugged toward the customer forbidden the pleasure of eating sweets by his doctor.	Vm O	Did someone shrug toward the customer?	Yes	No
15	rep_levy2009	1	2	toward_ambig	3	4	The nurse grimaced toward a student grabbed a muffin by her friends from the dining hall.	S was Vred	Did the nurse receive a muffin?	No	Yes
18	rep_levy2009	1	2	at_unambig	2	5	The hotel owner scowled at the guest taken a drink by the bellboy.	O Vm	Did the guest scowl?	No	Yes
21	rep_levy2009	1	2	at_ambig	1	6	The benchwarmers cheered at the player tossed a frisbee by the opposing team.	O Vred	Did the player toss a frisbee?	No	Yes
28	rep_levy2009	1	2	toward_unambig	4	7	The priest frowned toward the woman given a beer by the hostess.	O Vred	Did the woman give someone a beer?	No	Yes
31	rep_levy2009	1	2	toward_ambig	3	8	The foreman cried out toward a carpenter cut a board by his buddy.	O Vm	Did the carpenter cry out?	No	Yes
34	rep_levy2009	1	2	at_unambig	2	9	The manager cursed at the waiter given pea soup by a trainee.	So Vred O	Did someone give the waiter pea soup?	Yes	No
37	rep_levy2009	1	2	at_ambig	1	10	The receptionist winked at the young man rented an apartment by his uncle.	So Vred O	Did someone rent the young man an apartment?	Yes	No
44	rep_levy2009	1	2	toward_unambig	4	11	The anthropologist looked on toward the woman woven a shawl by her mother.	O Vred PP	Did the woman weave her mother a shawl?	No	Yes
47	rep_levy2009	1	2	toward_ambig	3	12	James stared toward the children dyed Easter eggs by their teachers.	PP Vred O	Did the teachers dye Easter eggs for the children?	Yes	No
50	rep_levy2009	1	2	at_unambig	2	13	The soldiers fired at the sergeant shown a list of charges by the judge the previous day. 	O Vred PP	Did the sergeant show the judge a list of charges?	No	Yes
53	rep_levy2009	1	2	at_ambig	1	14	The town drunk snorted at the innkeeper recited a verse by a traveling monk.	PP Vred O	Did the traveling monk recite the innkeeper a verse?	Yes	No
60	rep_levy2009	1	2	toward_unambig	4	15	The taxi driver signaled toward the woman thrown a silver dollar by the passerby.	O Vred PP	Did the woman throw the passerby a silver dollar?	No	Yes
63	rep_levy2009	1	2	toward_ambig	3	16	The mime gestured toward the artist painted a picture by her father while he was on his deathbed.	S was Vred	Was the mime painted a picture?	No	Yes
66	rep_levy2009	1	2	at_unambig	2	17	The trader sneered at the banker given a coupon by her boss.	So Vred O	Did someone give the banker a coupon?	Yes	No
69	rep_levy2009	1	2	at_ambig	1	18	The logger glared at the activist planted a tree by his daughter.	O Vred	Did the activist plant a tree?	No	Yes
76	rep_levy2009	1	2	toward_unambig	4	19	The little boy reached out toward the girl woven a hat by her grandmother.	Vm O	Did someone reach out toward the girl?	Yes	No
79	rep_levy2009	1	2	toward_ambig	3	20	The lobbyist smiled toward the congressman mailed a letter by the CEO.	PP Vred O	Did the CEO mail the congressman a letter?	Yes	No
82	rep_levy2009	1	2	at_unambig	2	21	The referee motioned at the athlete thrown a pass by the quarterback during the third quarter.	O Vred	Did the athlete throw a pass?	No	Yes
85	rep_levy2009	1	2	at_ambig	1	22	The people in line rubbernecked at the man removed some money by his wife from the uncooperative ATM.	So Vred O	Did someone remove money for the man?	Yes	No
92	rep_levy2009	1	2	toward_unambig	4	23	The landlord squinted toward the tenant driven a load of books by her boyfriend from her office.	O Vred PP	Did the tenant drive her boyfriend a load of books from her office?	No	Yes
95	rep_levy2009	1	2	toward_ambig	3	24	The actor coughed toward the journalist asked a question by the editor for the interview.	PP Vred O	Did the editor ask the journalist a question?	Yes	No
